"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 08:40:03 GMT 2022","Mon Feb 28 08:40:05 GMT 2022","1567","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 08:40:01 GMT 2022","Mon Feb 28 08:40:03 GMT 2022","2054","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 08:39:54 GMT 2022","Mon Feb 28 08:39:59 GMT 2022","4663","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 08:39:59 GMT 2022","Mon Feb 28 08:40:01 GMT 2022","1926","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
