"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 21:05:00 GMT 2023","Fri Jun 30 21:05:01 GMT 2023","1243","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 21:04:52 GMT 2023","Fri Jun 30 21:04:52 GMT 2023","623","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 21:04:55 GMT 2023","Fri Jun 30 21:04:55 GMT 2023","583","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 21:05:01 GMT 2023","Fri Jun 30 21:05:01 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
