"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 08:18:33 GMT 2022","Mon Feb 28 08:18:35 GMT 2022","1897","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 08:18:22 GMT 2022","Mon Feb 28 08:18:28 GMT 2022","5728","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 08:18:28 GMT 2022","Mon Feb 28 08:18:30 GMT 2022","2299","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 08:18:31 GMT 2022","Mon Feb 28 08:18:33 GMT 2022","2217","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
