"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 20:53:36 GMT 2023","Fri Jun 30 20:53:37 GMT 2023","1495","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:53:30 GMT 2023","Fri Jun 30 20:53:30 GMT 2023","707","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:53:37 GMT 2023","Fri Jun 30 20:53:37 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:53:26 GMT 2023","Fri Jun 30 20:53:27 GMT 2023","731","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
