"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 09 06:40:59 GMT 2023","Mon Oct 09 06:41:00 GMT 2023","1484","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Mon Oct 09 06:40:47 GMT 2023","Mon Oct 09 06:40:47 GMT 2023","284","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Oct 09 06:40:47 GMT 2023","Mon Oct 09 06:40:56 GMT 2023","9000","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Mon Oct 09 06:40:44 GMT 2023","Mon Oct 09 06:40:45 GMT 2023","289","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
