"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 20:09:23 GMT 2023","Fri Jun 30 20:09:23 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:09:21 GMT 2023","Fri Jun 30 20:09:23 GMT 2023","1331","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:09:13 GMT 2023","Fri Jun 30 20:09:14 GMT 2023","631","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:09:16 GMT 2023","Fri Jun 30 20:09:17 GMT 2023","632","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
