"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 13:15:29 GMT 2022","Mon Feb 28 13:15:32 GMT 2022","3005","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 13:15:33 GMT 2022","Mon Feb 28 13:15:41 GMT 2022","8490","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 13:15:22 GMT 2022","Mon Feb 28 13:15:29 GMT 2022","7056","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 13:15:41 GMT 2022","Mon Feb 28 13:15:44 GMT 2022","2242","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
