"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 20:24:14 GMT 2023","Fri Jun 30 20:24:15 GMT 2023","811","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:24:38 GMT 2023","Fri Jun 30 20:24:39 GMT 2023","1457","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:24:18 GMT 2023","Fri Jun 30 20:24:19 GMT 2023","764","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:24:39 GMT 2023","Fri Jun 30 20:24:39 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
