"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 20:24:03 GMT 2023","Fri Jun 30 20:24:03 GMT 2023","579","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:24:12 GMT 2023","Fri Jun 30 20:24:12 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:24:06 GMT 2023","Fri Jun 30 20:24:06 GMT 2023","610","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:24:10 GMT 2023","Fri Jun 30 20:24:12 GMT 2023","1219","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
