"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 09 06:41:50 GMT 2023","Mon Oct 09 06:41:51 GMT 2023","338","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Mon Oct 09 06:42:01 GMT 2023","Mon Oct 09 06:42:01 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Mon Oct 09 06:41:53 GMT 2023","Mon Oct 09 06:41:53 GMT 2023","327","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Mon Oct 09 06:41:59 GMT 2023","Mon Oct 09 06:42:01 GMT 2023","1572","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
