"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 11:20:39 GMT 2022","Mon Feb 28 11:20:45 GMT 2022","5717","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 11:20:48 GMT 2022","Mon Feb 28 11:20:56 GMT 2022","7811","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 11:20:56 GMT 2022","Mon Feb 28 11:20:58 GMT 2022","1830","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 11:20:45 GMT 2022","Mon Feb 28 11:20:48 GMT 2022","2581","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
