"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 08:23:51 GMT 2022","Mon Feb 28 08:23:53 GMT 2022","1626","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 08:23:49 GMT 2022","Mon Feb 28 08:23:51 GMT 2022","2483","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 08:23:41 GMT 2022","Mon Feb 28 08:23:46 GMT 2022","4578","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 08:23:46 GMT 2022","Mon Feb 28 08:23:48 GMT 2022","2407","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
