"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 28 11:04:21 GMT 2022","Mon Feb 28 11:04:25 GMT 2022","4033","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 11:04:30 GMT 2022","Mon Feb 28 11:04:31 GMT 2022","1412","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"passed","Mon Feb 28 11:04:27 GMT 2022","Mon Feb 28 11:04:30 GMT 2022","2133","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"passed","Mon Feb 28 11:04:25 GMT 2022","Mon Feb 28 11:04:27 GMT 2022","1957","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
