"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jun 30 20:54:19 GMT 2023","Fri Jun 30 20:54:20 GMT 2023","1225","Google Chrome","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:54:11 GMT 2023","Fri Jun 30 20:54:12 GMT 2023","596","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@smoke, should allow me to login to swag site",""
"failed","Fri Jun 30 20:54:20 GMT 2023","Fri Jun 30 20:54:20 GMT 2023","0","Google Chrome","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
"failed","Fri Jun 30 20:54:14 GMT 2023","Fri Jun 30 20:54:14 GMT 2023","590","Mobile Safari","login.spec.js","Login & Logout the Site ","","","@regression,should allow me to logout from the site",""
